,event_type,page,pb,pl,pr,pt,slug,tb,timestamp,tl,tr,tt,type,x,y
1,2.0,1,986.3,610,1292,474.3,hot-air-balloons,179,0.0,729,1175,114,SampleFixation,1095.6767450846903,492.63662851647564
0,,1,986.3,610,1292,474.3,hot-air-balloons,179,105.96168493619189,729,1175,114,SampleGaze,1074.9744702067503,143.6307250854024
3,1.0,1,986.3,610,1292,474.3,hot-air-balloons,179,105.96168493619189,729,1175,114,SampleFixation,1074.997362295741,139.6932528020777
2,,1,986.3,610,1292,474.3,hot-air-balloons,179,140.60036170081003,729,1175,114,SampleGaze,1075.084903735407,138.75638021198472
4,,1,986.3,610,1292,474.3,hot-air-balloons,179,174.82851468835725,729,1175,114,SampleGaze,1074.204028216182,141.6546618970745
5,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,209.78681353642605,729,1175,114,SampleFixation,1076.2281051739626,141.74832916443356
6,,1,986.3,610,1292,474.3,hot-air-balloons,179,209.78681353642605,729,1175,114,SampleGaze,1077.1419591528256,144.75538297020051
7,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,244.4082629639306,729,1175,114,SampleFixation,1077.4897028251912,140.6864324066018
8,,1,986.3,610,1292,474.3,hot-air-balloons,179,244.4082629639306,729,1175,114,SampleGaze,1078.7797142922846,143.5317653666522
9,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,279.624605329067,729,1175,114,SampleFixation,1076.1667744998354,143.14393616960203
10,,1,986.3,610,1292,474.3,hot-air-balloons,179,279.624605329067,729,1175,114,SampleGaze,1078.6324518638241,141.3059275689961
12,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,314.30506754951784,729,1175,114,SampleFixation,1078.2486360453672,147.63753918018543
11,,1,986.3,610,1292,474.3,hot-air-balloons,179,314.30506754951784,729,1175,114,SampleGaze,1079.9884788738755,152.47069517636788
13,,1,986.3,610,1292,474.3,hot-air-balloons,179,348.189773412887,729,1175,114,SampleGaze,1090.9833907531029,152.3664129140888
14,,1,986.3,610,1292,474.3,hot-air-balloons,179,382.3130962216528,729,1175,114,SampleGaze,1105.0361656864065,157.00168190971374
15,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,418.2331936330884,729,1175,114,SampleFixation,1087.084740813607,150.44268928142114
16,,1,986.3,610,1292,474.3,hot-air-balloons,179,418.2331936330884,729,1175,114,SampleGaze,1108.0219985156627,157.57374014335636
17,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,454.2104711420252,729,1175,114,SampleFixation,1098.644032934142,154.20124348870422
18,,1,986.3,610,1292,474.3,hot-air-balloons,179,454.2104711420252,729,1175,114,SampleGaze,1112.9260033436665,159.42463832278835
19,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,488.4943380707409,729,1175,114,SampleFixation,1102.754869286658,153.74613563657755
20,,1,986.3,610,1292,474.3,hot-air-balloons,179,488.4943380707409,729,1175,114,SampleGaze,1112.4629260486568,154.60109437462555
21,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,522.7554795760661,729,1175,114,SampleFixation,1104.8533404118289,155.31621540139048
22,,1,986.3,610,1292,474.3,hot-air-balloons,179,522.7554795760661,729,1175,114,SampleGaze,1109.4376781375056,157.32602929040036
24,,1,986.3,610,1292,474.3,hot-air-balloons,179,557.768392748083,729,1175,114,SampleGaze,1107.8196166375294,155.64749930936435
23,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,557.768392748083,729,1175,114,SampleFixation,1105.6308456504344,154.94447777622247
25,,1,986.3,610,1292,474.3,hot-air-balloons,179,593.1731362037244,729,1175,114,SampleGaze,1107.2200554131189,156.75404254211784
26,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,593.1731362037244,729,1175,114,SampleFixation,1105.926977302759,156.21850303383854
27,,1,986.3,610,1292,474.3,hot-air-balloons,179,628.3139715169673,729,1175,114,SampleGaze,1108.0521827687346,154.9954841452707
28,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,628.3139715169673,729,1175,114,SampleFixation,1107.4691066801079,154.8193593727719
29,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,662.3925765571767,729,1175,114,SampleFixation,1105.7450086218996,152.23683724951434
30,,1,986.3,610,1292,474.3,hot-air-balloons,179,662.3925765571767,729,1175,114,SampleGaze,1105.719058175193,149.64714076515423
31,,1,986.3,610,1292,474.3,hot-air-balloons,179,696.4411253922735,729,1175,114,SampleGaze,1107.7694343897901,151.88645897656778
32,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,696.4411253922735,729,1175,114,SampleFixation,1108.276915493342,153.75386975837205
33,,1,986.3,610,1292,474.3,hot-air-balloons,179,730.5098338771495,729,1175,114,SampleGaze,1106.052599285897,149.4494860142604
34,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,730.5098338771495,729,1175,114,SampleFixation,1109.4868582656443,153.3258655421949
36,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,764.5616815640242,729,1175,114,SampleFixation,1109.8926499570223,150.44876176393197
35,,1,986.3,610,1292,474.3,hot-air-balloons,179,764.5616815640242,729,1175,114,SampleGaze,1110.8841555811166,145.7612278468174
37,,1,986.3,610,1292,474.3,hot-air-balloons,179,798.6050988519564,729,1175,114,SampleGaze,1113.97642318338,146.75909696400544
38,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,798.6050988519564,729,1175,114,SampleFixation,1115.1395527604373,150.56674556982927
39,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,833.2082213251269,729,1175,114,SampleFixation,1113.600921113781,151.25491551869675
40,,1,986.3,610,1292,474.3,hot-air-balloons,179,833.2082213251269,729,1175,114,SampleGaze,1116.438061030385,151.03932185317032
41,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,868.4403248709277,729,1175,114,SampleFixation,1113.7578068476187,154.09657512841537
42,,1,986.3,610,1292,474.3,hot-air-balloons,179,868.4403248709277,729,1175,114,SampleGaze,1115.7710748943089,155.5210899413239
46,2.0,1,986.3,610,1292,474.3,hot-air-balloons,179,868.4403248709277,729,1175,114,SampleFixation,1114.0715783152943,159.77989434785312
43,,1,986.3,610,1292,474.3,hot-air-balloons,179,903.464967293723,729,1175,114,SampleGaze,1099.6742723703305,143.29294579125943
44,,1,986.3,610,1292,474.3,hot-air-balloons,179,938.1465291314526,729,1175,114,SampleGaze,1070.4388084896052,117.50010522791337
48,1.0,1,986.3,610,1292,474.3,hot-air-balloons,179,938.1465291314526,729,1175,114,SampleFixation,1055.0154902002937,109.11191942751881
45,,1,986.3,610,1292,474.3,hot-air-balloons,179,973.3419787685852,729,1175,114,SampleGaze,1051.0457155875974,119.20375909658678
47,,1,986.3,610,1292,474.3,hot-air-balloons,179,1008.5861781042768,729,1175,114,SampleGaze,1052.612028690289,115.64452929251303
49,,1,986.3,610,1292,474.3,hot-air-balloons,179,1043.6515063656843,729,1175,114,SampleGaze,1059.318869545545,115.4842189020845
50,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1043.6515063656843,729,1175,114,SampleFixation,1058.4214421975928,111.05473739982597
51,,1,986.3,610,1292,474.3,hot-air-balloons,179,1078.454026101972,729,1175,114,SampleGaze,1059.1967463541978,124.89287545382815
52,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1078.454026101972,729,1175,114,SampleFixation,1057.6576010911087,117.35286945653138
56,2.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1078.454026101972,729,1175,114,SampleFixation,1056.1299188781409,129.94913356994235
53,,1,986.3,610,1292,474.3,hot-air-balloons,179,1113.7473416752764,729,1175,114,SampleGaze,1056.1299188781409,129.94913356994235
54,,1,986.3,610,1292,474.3,hot-air-balloons,179,1149.5611427515978,729,1175,114,SampleGaze,961.2442881676988,754.469247002254
55,,1,986.3,610,1292,474.3,hot-air-balloons,179,1185.9844983289368,729,1175,114,SampleGaze,960.5146989781095,766.042095382338
59,1.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1185.9844983289368,729,1175,114,SampleFixation,954.8949739543608,766.2821970252576
57,,1,986.3,610,1292,474.3,hot-air-balloons,179,1221.6296914254199,729,1175,114,SampleGaze,954.4562042927903,764.5908555709143
58,,1,986.3,610,1292,474.3,hot-air-balloons,179,1258.1413829226512,729,1175,114,SampleGaze,952.5012295119817,764.3489646172735
60,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1293.4346984959557,729,1175,114,SampleFixation,957.8746876366673,760.8752476853857
61,,1,986.3,610,1292,474.3,hot-air-balloons,179,1293.4346984959557,729,1175,114,SampleGaze,960.1890747544016,755.4322483963682
62,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1328.9065186044318,729,1175,114,SampleFixation,960.0576926820061,759.8120103171404
63,,1,986.3,610,1292,474.3,hot-air-balloons,179,1328.9065186044318,729,1175,114,SampleGaze,964.2271767969335,755.1441824884936
64,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1364.5788355933037,729,1175,114,SampleFixation,961.4982306561355,757.0720017578244
65,,1,986.3,610,1292,474.3,hot-air-balloons,179,1364.5788355933037,729,1175,114,SampleGaze,964.4016577322612,754.6597659703941
69,2.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1364.5788355933037,729,1175,114,SampleFixation,964.379306604395,751.5919846391923
66,,1,986.3,610,1292,474.3,hot-air-balloons,179,1399.1988188644755,729,1175,114,SampleGaze,964.379306604395,751.5919846391923
67,,1,986.3,610,1292,474.3,hot-air-balloons,179,1434.0031712962082,729,1175,114,SampleGaze,1018.8285447525386,836.6967225755546
71,1.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1434.0031712962082,729,1175,114,SampleFixation,1013.8388232716543,840.1160652561293
68,,1,986.3,610,1292,474.3,hot-air-balloons,179,1468.5652413916541,729,1175,114,SampleGaze,1011.6862684149886,840.0237208621808
70,,1,986.3,610,1292,474.3,hot-air-balloons,179,1502.4411503169686,729,1175,114,SampleGaze,1012.4234378580035,841.8556521201612
72,,1,986.3,610,1292,474.3,hot-air-balloons,179,1536.1719097639434,729,1175,114,SampleGaze,1013.542843046299,842.5886701746937
73,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1536.1719097639434,729,1175,114,SampleFixation,1013.2005741671038,841.5176981834923
74,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1570.8765635641175,729,1175,114,SampleFixation,1013.1908974982109,841.300348378318
75,,1,986.3,610,1292,474.3,hot-air-balloons,179,1570.8765635641175,729,1175,114,SampleGaze,1012.7912173910722,842.4858866572123
76,,1,986.3,610,1292,474.3,hot-air-balloons,179,1606.2912035750924,729,1175,114,SampleGaze,1009.7574040818521,841.2504354830975
77,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1606.2912035750924,729,1175,114,SampleFixation,1010.7569525787684,840.6676286442403
79,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1640.4885672793607,729,1175,114,SampleFixation,1010.1043979639404,842.2301999365227
78,,1,986.3,610,1292,474.3,hot-air-balloons,179,1640.4885672793607,729,1175,114,SampleGaze,1008.3952623781001,844.0594416228511
80,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1674.428254005732,729,1175,114,SampleFixation,1007.9247402347529,846.8628023924443
81,,1,986.3,610,1292,474.3,hot-air-balloons,179,1674.428254005732,729,1175,114,SampleGaze,1005.9261919601774,847.9289099431226
82,,1,986.3,610,1292,474.3,hot-air-balloons,179,1707.914165342867,729,1175,114,SampleGaze,1006.5062420639238,850.2871078301465
83,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1707.914165342867,729,1175,114,SampleFixation,1008.3260558901002,846.3023619531989
84,3.0,1,986.3,610,1292,474.3,hot-air-balloons,179,1741.692574871122,729,1175,114,SampleFixation,1006.9442558370541,846.1268941402571
85,,1,986.3,610,1292,474.3,hot-air-balloons,179,1741.692574871122,729,1175,114,SampleGaze,1005.306361951359,848.6979073340406
87,,1,986.3,610,1292,474.3,hot-air-balloons,179,1777.1123464293196,729,1175,114,SampleGaze,1009.5337361427156,842.3687399563833
