,event_type,page,pb,pl,pr,pt,slug,tb,timestamp,tl,tr,tt,type,x,y
0,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,0.0,692,1211,107,SampleFixation,938.0875173132108,771.7112014848387
1,,1,977.0,706,1196,364.0,my-disney-marathon,168,0.0,692,1211,107,SampleGaze,940.331119809748,767.099873176241
2,,1,977.0,706,1196,364.0,my-disney-marathon,168,36.5611963669071,692,1211,107,SampleGaze,939.5324638314125,767.0670833790772
3,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,36.5611963669071,692,1211,107,SampleFixation,937.4782788235332,770.0592541983696
4,,1,977.0,706,1196,364.0,my-disney-marathon,168,74.64391265576705,692,1211,107,SampleGaze,948.3464753438457,774.7345996393685
5,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,74.64391265576705,692,1211,107,SampleFixation,942.0956807919854,772.2743522547215
6,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,112.56351731705945,692,1211,107,SampleFixation,939.9125137690397,776.2262201087444
7,,1,977.0,706,1196,364.0,my-disney-marathon,168,112.56351731705945,692,1211,107,SampleGaze,940.6977428518813,781.7065070036778
10,2.0,1,977.0,706,1196,364.0,my-disney-marathon,168,112.56351731705945,692,1211,107,SampleFixation,935.5461797231483,784.1299558167901
8,,1,977.0,706,1196,364.0,my-disney-marathon,168,149.77129550580867,692,1211,107,SampleGaze,924.0166529565957,870.6820689442119
13,1.0,1,977.0,706,1196,364.0,my-disney-marathon,168,187.31409398082178,692,1211,107,SampleFixation,922.204724952328,919.7808665146792
9,,1,977.0,706,1196,364.0,my-disney-marathon,168,187.31409398082178,692,1211,107,SampleGaze,919.797546502913,921.8785388767477
11,,1,977.0,706,1196,364.0,my-disney-marathon,168,223.586821020348,692,1211,107,SampleGaze,921.2029432850594,919.2721387025373
12,,1,977.0,706,1196,364.0,my-disney-marathon,168,259.71439703856595,692,1211,107,SampleGaze,923.7470005621523,919.1821908572589
14,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,296.5002842540853,692,1211,107,SampleFixation,921.9452667676946,920.9456207540101
15,,1,977.0,706,1196,364.0,my-disney-marathon,168,296.5002842540853,692,1211,107,SampleGaze,922.3532475795238,922.4297781577785
16,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,333.85211383504793,692,1211,107,SampleFixation,920.1103463370406,921.0676083518831
17,,1,977.0,706,1196,364.0,my-disney-marathon,168,333.85211383504793,692,1211,107,SampleGaze,918.0816802164759,921.9579176455707
19,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,371.35092715208884,692,1211,107,SampleFixation,921.8210791872964,922.341383681825
18,,1,977.0,706,1196,364.0,my-disney-marathon,168,371.35092715208884,692,1211,107,SampleGaze,920.9053286988417,923.1261901580814
20,,1,977.0,706,1196,364.0,my-disney-marathon,168,409.9072169747669,692,1211,107,SampleGaze,918.876572231163,925.4126177031754
21,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,409.9072169747669,692,1211,107,SampleFixation,919.815826054677,923.449345064735
22,,1,977.0,706,1196,364.0,my-disney-marathon,168,451.4061138635734,692,1211,107,SampleGaze,925.879184285688,934.9698747274259
23,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,451.4061138635734,692,1211,107,SampleFixation,922.6437339736051,928.0347023710141
24,,1,977.0,706,1196,364.0,my-disney-marathon,168,490.1464082635939,692,1211,107,SampleGaze,925.3927055851061,928.1130153299267
25,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,490.1464082635939,692,1211,107,SampleFixation,922.643385879875,925.1935220911356
26,,1,977.0,706,1196,364.0,my-disney-marathon,168,529.0179250515066,692,1211,107,SampleGaze,923.4720374239564,920.396673348295
27,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,529.0179250515066,692,1211,107,SampleFixation,922.9931928132787,923.6731458185369
29,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,565.0941850520903,692,1211,107,SampleFixation,921.7975151895481,922.1600288604479
28,,1,977.0,706,1196,364.0,my-disney-marathon,168,565.0941850520903,692,1211,107,SampleGaze,920.8032067260426,919.6221981423944
30,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,602.9848328179214,692,1211,107,SampleFixation,922.9025089061497,921.5915607945648
31,,1,977.0,706,1196,364.0,my-disney-marathon,168,602.9848328179214,692,1211,107,SampleGaze,922.3042695607093,919.8046122682651
32,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,641.1166658663424,692,1211,107,SampleFixation,921.6141525681311,921.3719490536168
33,,1,977.0,706,1196,364.0,my-disney-marathon,168,641.1166658663424,692,1211,107,SampleGaze,921.0347275843936,920.7755410139546
34,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,680.2700542079983,692,1211,107,SampleFixation,924.2446283402605,922.114523514161
35,,1,977.0,706,1196,364.0,my-disney-marathon,168,680.2700542079983,692,1211,107,SampleGaze,926.1288465251541,922.7393889036717
36,,1,977.0,706,1196,364.0,my-disney-marathon,168,722.3147335983813,692,1211,107,SampleGaze,924.0491202960131,921.4291791884098
37,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,722.3147335983813,692,1211,107,SampleFixation,923.3175561996005,921.5432241188818
38,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,762.075117119588,692,1211,107,SampleFixation,923.9146663674696,921.1246636698344
39,,1,977.0,706,1196,364.0,my-disney-marathon,168,762.075117119588,692,1211,107,SampleGaze,924.4217513765801,920.3088576961426
41,,1,977.0,706,1196,364.0,my-disney-marathon,168,800.9777900610352,692,1211,107,SampleGaze,933.4175399786127,920.7493507552826
40,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,800.9777900610352,692,1211,107,SampleFixation,928.5078674459137,921.0787951455786
42,,1,977.0,706,1196,364.0,my-disney-marathon,168,839.3372463018168,692,1211,107,SampleGaze,931.334047915474,921.712472336011
43,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,839.3372463018168,692,1211,107,SampleFixation,927.430285826872,921.5203708499191
44,,1,977.0,706,1196,364.0,my-disney-marathon,168,876.679179222323,692,1211,107,SampleGaze,931.6734279363039,920.7651281636251
45,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,876.679179222323,692,1211,107,SampleFixation,929.8762122894703,921.0044785824355
46,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,911.2980643231422,692,1211,107,SampleFixation,929.3514210169523,918.2863947128587
47,,1,977.0,706,1196,364.0,my-disney-marathon,168,911.2980643231422,692,1211,107,SampleGaze,929.5662036489649,914.2429092443722
48,,1,977.0,706,1196,364.0,my-disney-marathon,168,946.4018857902847,692,1211,107,SampleGaze,929.931438461154,915.8443104070515
49,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,946.4018857902847,692,1211,107,SampleFixation,929.8115915772916,917.9626191368535
51,3.0,1,977.0,706,1196,364.0,my-disney-marathon,168,981.4881131943548,692,1211,107,SampleFixation,927.9894402052305,918.8599435496984
